suburb,local_board,region,metric,count,known_suburb,known_board,known_region,p_suburb,p_board,p_region
Point Chevalier,Albert-Eden Local Board Area,central,owner_reg,212,777,6233,25368,0.2728442728442728,0.2826889138456602,0.2651371807000946
Point England,Maungakiekie-Tāmaki Local Board Area,central,animal_desexed,134,316,5484,25368,0.4240506329113924,0.5951859956236324,0.6542100283822138
Point England,Maungakiekie-Tāmaki Local Board Area,central,classification,58,316,5484,25368,0.18354430379746836,0.08460977388767323,0.03717281614632608
Point England,Maungakiekie-Tāmaki Local Board Area,central,current_reg,242,316,5484,25368,0.7658227848101266,0.8659737417943107,0.9155234941658783
Point England,Maungakiekie-Tāmaki Local Board Area,central,owner_reg,63,316,5484,25368,0.19936708860759494,0.2671407731582786,0.2651371807000946
Point Wells,Rodney Local Board Area,north,animal_desexed,84,124,12635,43051,0.6774193548387096,0.6839730906212901,0.7100648068569836
Point Wells,Rodney Local Board Area,north,classification,2,124,12635,43051,0.016129032258064516,0.015116739216462208,0.016979861094980373
Point Wells,Rodney Local Board Area,north,current_reg,124,124,12635,43051,1,0.9270280965571824,0.9315695338087385
Point Wells,Rodney Local Board Area,north,owner_reg,58,124,12635,43051,0.46774193548387094,0.39746735259200633,0.36059557269285264
Pokeno,Franklin Local Board Area,south,animal_desexed,3,11,11978,33754,0.2727272727272727,0.6668058106528636,0.560407655388991
Pokeno,Franklin Local Board Area,south,classification,0,11,11978,33754,0,0.03414593421272333,0.10665402618948866
Pokeno,Franklin Local Board Area,south,current_reg,11,11,11978,33754,1,0.9143429620971781,0.8430111986727499
Pokeno,Franklin Local Board Area,south,owner_reg,6,11,11978,33754,0.5454545454545454,0.4029888128235098,0.29629080997807666
Ponsonby,Waitematā Local Board Area,central,animal_desexed,434,636,4310,25368,0.6823899371069182,0.6849187935034803,0.6542100283822138
Ponsonby,Waitematā Local Board Area,central,classification,7,636,4310,25368,0.0110062893081761,0.013689095127610209,0.03717281614632608
Ponsonby,Waitematā Local Board Area,central,current_reg,593,636,4310,25368,0.9323899371069182,0.9310904872389791,0.9155234941658783
Ponsonby,Waitematā Local Board Area,central,owner_reg,153,636,4310,25368,0.24056603773584906,0.23642691415313224,0.2651371807000946
Port Albert,Rodney Local Board Area,north,animal_desexed,40,68,12635,43051,0.5882352941176471,0.6839730906212901,0.7100648068569836
Port Albert,Rodney Local Board Area,north,classification,0,68,12635,43051,0,0.015116739216462208,0.016979861094980373
Port Albert,Rodney Local Board Area,north,current_reg,65,68,12635,43051,0.9558823529411765,0.9270280965571824,0.9315695338087385
Port Albert,Rodney Local Board Area,north,owner_reg,24,68,12635,43051,0.35294117647058826,0.39746735259200633,0.36059557269285264
Puhoi,Rodney Local Board Area,north,animal_desexed,120,185,12635,43051,0.6486486486486487,0.6839730906212901,0.7100648068569836
Puhoi,Rodney Local Board Area,north,classification,1,185,12635,43051,0.005405405405405406,0.015116739216462208,0.016979861094980373
Puhoi,Rodney Local Board Area,north,current_reg,179,185,12635,43051,0.9675675675675676,0.9270280965571824,0.9315695338087385
